arquivo,tamanho_bytes,total_palavras,palavra,algoritmo,threads,repeticao,ocorrencias,tempo_ms
Dracula-165307.txt,890389,166773,the,SerialCPU,1,1,8104,0.931900
Dracula-165307.txt,890389,166773,the,SerialCPU,1,2,8104,0.987300
Dracula-165307.txt,890389,166773,the,SerialCPU,1,3,8104,1.213100
Dracula-165307.txt,890389,166773,the,SerialCPU,1,4,8104,0.905300
Dracula-165307.txt,890389,166773,the,SerialCPU,1,5,8104,0.968900
Dracula-165307.txt,890389,166773,the,ParallelCPU,1,1,8104,1.286500
Dracula-165307.txt,890389,166773,the,ParallelCPU,1,2,8104,1.558200
Dracula-165307.txt,890389,166773,the,ParallelCPU,1,3,8104,1.347100
Dracula-165307.txt,890389,166773,the,ParallelCPU,1,4,8104,1.354300
Dracula-165307.txt,890389,166773,the,ParallelCPU,1,5,8104,1.208500
Dracula-165307.txt,890389,166773,the,ParallelCPU,2,1,8104,0.795400
Dracula-165307.txt,890389,166773,the,ParallelCPU,2,2,8104,4.535000
Dracula-165307.txt,890389,166773,the,ParallelCPU,2,3,8104,1.028300
Dracula-165307.txt,890389,166773,the,ParallelCPU,2,4,8104,1.208200
Dracula-165307.txt,890389,166773,the,ParallelCPU,2,5,8104,0.844500
Dracula-165307.txt,890389,166773,the,ParallelCPU,4,1,8104,0.838000
Dracula-165307.txt,890389,166773,the,ParallelCPU,4,2,8104,0.668900
Dracula-165307.txt,890389,166773,the,ParallelCPU,4,3,8104,0.868800
Dracula-165307.txt,890389,166773,the,ParallelCPU,4,4,8104,0.840700
Dracula-165307.txt,890389,166773,the,ParallelCPU,4,5,8104,0.849600
Dracula-165307.txt,890389,166773,the,ParallelCPU,8,1,8104,1.177500
Dracula-165307.txt,890389,166773,the,ParallelCPU,8,2,8104,0.780000
Dracula-165307.txt,890389,166773,the,ParallelCPU,8,3,8104,1.180900
Dracula-165307.txt,890389,166773,the,ParallelCPU,8,4,8104,0.809700
Dracula-165307.txt,890389,166773,the,ParallelCPU,8,5,8104,0.686800
Dracula-165307.txt,890389,166773,the,ParallelGPU,0,1,8104,76.034900
Dracula-165307.txt,890389,166773,the,ParallelGPU,0,2,8104,79.675100
Dracula-165307.txt,890389,166773,the,ParallelGPU,0,3,8104,80.841200
Dracula-165307.txt,890389,166773,the,ParallelGPU,0,4,8104,75.997900
Dracula-165307.txt,890389,166773,the,ParallelGPU,0,5,8104,77.158300
MobyDick-217452.txt,1276285,222559,the,SerialCPU,1,1,14727,1.290600
MobyDick-217452.txt,1276285,222559,the,SerialCPU,1,2,14727,1.452400
MobyDick-217452.txt,1276285,222559,the,SerialCPU,1,3,14727,1.922400
MobyDick-217452.txt,1276285,222559,the,SerialCPU,1,4,14727,1.307700
