arquivo,algoritmo,threads,ocorrencias,media_ms,mediana_ms,minimo_ms,maximo_ms,desvio_padrao,speedup,eficiencia
Dracula-165307.txt,SerialCPU,1,8104,1.001300,0.968900,0.905300,1.213100,0.109670,1.000000,1.000000
Dracula-165307.txt,ParallelCPU,1,8104,1.350920,1.347100,1.208500,1.558200,0.116124,0.741199,0.741199
Dracula-165307.txt,ParallelCPU,2,8104,1.682280,1.028300,0.795400,4.535000,1.433798,0.595204,0.297602
Dracula-165307.txt,ParallelCPU,4,8104,0.813200,0.840700,0.668900,0.868800,0.072952,1.231308,0.307827
Dracula-165307.txt,ParallelCPU,8,8104,0.926980,0.809700,0.686800,1.180900,0.209895,1.080174,0.135022
Dracula-165307.txt,ParallelGPU,0,8104,77.941480,77.158300,75.997900,80.841200,1.971788,0.012847,1.000000
MobyDick-217452.txt,SerialCPU,1,14727,1.466040,1.357100,1.290600,1.922400,0.235019,1.000000,1.000000
MobyDick-217452.txt,ParallelCPU,1,14727,1.740400,1.653900,1.635100,2.000600,0.138604,0.842358,0.842358
MobyDick-217452.txt,ParallelCPU,2,14727,1.059460,1.027000,0.990100,1.187300,0.068470,1.383762,0.691881
MobyDick-217452.txt,ParallelCPU,4,14727,0.975680,1.027800,0.772700,1.189800,0.145715,1.502583,0.375646
MobyDick-217452.txt,ParallelCPU,8,14727,2.249240,1.126800,0.884600,6.501000,2.147170,0.651793,0.081474
MobyDick-217452.txt,ParallelGPU,0,14727,76.891460,76.403400,75.738200,78.122600,0.986714,0.019066,1.000000
DonQuixote-388208.txt,SerialCPU,1,188,2.179880,2.163600,1.786000,2.581400,0.265932,1.000000,1.000000
DonQuixote-388208.txt,ParallelCPU,1,188,2.616600,2.295600,2.171000,3.405200,0.508531,0.833096,0.833096
DonQuixote-388208.txt,ParallelCPU,2,188,1.697060,1.572800,1.313500,2.048700,0.278963,1.284504,0.642252
DonQuixote-388208.txt,ParallelCPU,4,188,1.272540,1.087700,1.012700,1.959300,0.353414,1.713015,0.428254
DonQuixote-388208.txt,ParallelCPU,8,188,4.088460,1.643500,1.268300,13.387500,4.680083,0.533179,0.066647
DonQuixote-388208.txt,ParallelGPU,0,188,79.065440,78.747400,78.206100,81.091700,1.046223,0.027571,1.000000
